current_path,size_bytes,sha256,category,proposed_action,proposed_path,reference_status,external_exact_references,external_relative_references,internal_output_references,directory_level_references,paired_file,notes
outputs/.Han-Ber4_label_sheet_order.json,1677,b484d7160dcb2f80344e0023c35cd5ef66591f42d63706f7c07b169fa59eb607,legacy_manual_label_artifact,verify_against_canonical_then_archive,runs/archive/team_classification/track_labeling/Han-Ber4_label_sheet_order.json,no_text_reference_found,,,,,,Manual label/order artifact; verify semantic coverage.
outputs/.Han-Ber4_team.pkl,263009,6bf7a84a1aefbad53d3ce9b1df72af39cf05ccece1151f2929cf8c8e972cc060,per_video_team_model,verify_then_migrate,models/team_classification/per_video/Han-Ber4_legacy.pkl,no_text_reference_found,,,,,,Legacy Han-Ber fitted model.
outputs/.Han-Ber4_team_labels.json,1565,5ad59593b95c7a3a137301df683598895f4eeac36d1cc244ba88a03dbe9caa4f,legacy_manual_label_artifact,verify_against_canonical_then_archive,runs/archive/team_classification/track_labeling/Han-Ber4_team_labels.json,direct_external_reference,CLAUDE.md:484,data/annotations/team/Han-Ber4.json:10262;data/annotations/team/Han-Ber4.json:1054;data/annotations/team/Han-Ber4.json:10702;data/annotations/team/Han-Ber4.json:1098;data/annotations/team/Han-Ber4.json:11214;data/annotations/team/Han-Ber4.json:11870;data/annotations/team/Han-Ber4.json:12310;data/annotations/team/Han-Ber4.json:12786;data/annotations/team/Han-Ber4.json:13082;data/annotations/team/Han-Ber4.json:1358;data/annotations/team/Han-Ber4.json:13918;data/annotations/team/Han-Ber4.json:14070;data/annotations/team/Han-Ber4.json:14114;data/annotations/team/Han-Ber4.json:14626;data/annotations/team/Han-Ber4.json:14742;data/annotations/team/Han-Ber4.json:14786;data/annotations/team/Han-Ber4.json:15082;data/annotations/team/Han-Ber4.json:15198;data/annotations/team/Han-Ber4.json:15602;data/annotations/team/Han-Ber4.json:15970;data/annotations/team/Han-Ber4.json:16122;data/annotations/team/Han-Ber4.json:16526;data/annotations/team/Han-Ber4.json:16822;data/annotations/team/Han-Ber4.json:17010;data/annotations/team/Han-Ber4.json:17234;data/annotations/team/Han-Ber4.json:17746;data/annotations/team/Han-Ber4.json:18114;data/annotations/team/Han-Ber4.json:18770;data/annotations/team/Han-Ber4.json:1906;data/annotations/team/Han-Ber4.json:19102;data/annotations/team/Han-Ber4.json:19506;data/annotations/team/Han-Ber4.json:19838;data/annotations/team/Han-Ber4.json:20602;data/annotations/team/Han-Ber4.json:20790;data/annotations/team/Han-Ber4.json:21410;data/annotations/team/Han-Ber4.json:21742;data/annotations/team/Han-Ber4.json:22326;data/annotations/team/Han-Ber4.json:22730;data/annotations/team/Han-Ber4.json:23242;data/annotations/team/Han-Ber4.json:2346;data/annotations/team/Han-Ber4.json:238;data/annotations/team/Han-Ber4.json:23826;data/annotations/team/Han-Ber4.json:24086;data/annotations/team/Han-Ber4.json:24526;data/annotations/team/Han-Ber4.json:24858;data/annotations/team/Han-Ber4.json:25406;data/annotations/team/Han-Ber4.json:25486;data/annotations/team/Han-Ber4.json:25783;data/annotations/team/Han-Ber4.json:2714;data/annotations/team/Han-Ber4.json:3010;data/annotations/team/Han-Ber4.json:318;data/annotations/team/Han-Ber4.json:3378;data/annotations/team/Han-Ber4.json:3782;data/annotations/team/Han-Ber4.json:4186;data/annotations/team/Han-Ber4.json:4266;data/annotations/team/Han-Ber4.json:5354;data/annotations/team/Han-Ber4.json:5650;data/annotations/team/Han-Ber4.json:6486;data/annotations/team/Han-Ber4.json:6638;data/annotations/team/Han-Ber4.json:7222;data/annotations/team/Han-Ber4.json:7734;data/annotations/team/Han-Ber4.json:8138;data/annotations/team/Han-Ber4.json:830;data/annotations/team/Han-Ber4.json:8326;data/annotations/team/Han-Ber4.json:8370;data/annotations/team/Han-Ber4.json:8702;data/annotations/team/Han-Ber4.json:8926;data/annotations/team/Han-Ber4.json:8970;data/annotations/team/Han-Ber4.json:9050;data/annotations/team/Han-Ber4.json:9562;data/annotations/team/Han-Ber4.json:9786,outputs/team_dataset/Han-Ber4/label.html:72;outputs/team_dataset/Han-Ber4/manifest.json:10262;outputs/team_dataset/Han-Ber4/manifest.json:1054;outputs/team_dataset/Han-Ber4/manifest.json:10702;outputs/team_dataset/Han-Ber4/manifest.json:1098;outputs/team_dataset/Han-Ber4/manifest.json:11214;outputs/team_dataset/Han-Ber4/manifest.json:11870;outputs/team_dataset/Han-Ber4/manifest.json:12310;outputs/team_dataset/Han-Ber4/manifest.json:12786;outputs/team_dataset/Han-Ber4/manifest.json:13082;outputs/team_dataset/Han-Ber4/manifest.json:1358;outputs/team_dataset/Han-Ber4/manifest.json:13918;outputs/team_dataset/Han-Ber4/manifest.json:14070;outputs/team_dataset/Han-Ber4/manifest.json:14114;outputs/team_dataset/Han-Ber4/manifest.json:14626;outputs/team_dataset/Han-Ber4/manifest.json:14742;outputs/team_dataset/Han-Ber4/manifest.json:14786;outputs/team_dataset/Han-Ber4/manifest.json:15082;outputs/team_dataset/Han-Ber4/manifest.json:15198;outputs/team_dataset/Han-Ber4/manifest.json:15602;outputs/team_dataset/Han-Ber4/manifest.json:15970;outputs/team_dataset/Han-Ber4/manifest.json:16122;outputs/team_dataset/Han-Ber4/manifest.json:16526;outputs/team_dataset/Han-Ber4/manifest.json:16822;outputs/team_dataset/Han-Ber4/manifest.json:17010;outputs/team_dataset/Han-Ber4/manifest.json:17234;outputs/team_dataset/Han-Ber4/manifest.json:17746;outputs/team_dataset/Han-Ber4/manifest.json:18114;outputs/team_dataset/Han-Ber4/manifest.json:18770;outputs/team_dataset/Han-Ber4/manifest.json:1906;outputs/team_dataset/Han-Ber4/manifest.json:19102;outputs/team_dataset/Han-Ber4/manifest.json:19506;outputs/team_dataset/Han-Ber4/manifest.json:19838;outputs/team_dataset/Han-Ber4/manifest.json:20602;outputs/team_dataset/Han-Ber4/manifest.json:20790;outputs/team_dataset/Han-Ber4/manifest.json:21410;outputs/team_dataset/Han-Ber4/manifest.json:21742;outputs/team_dataset/Han-Ber4/manifest.json:22326;outputs/team_dataset/Han-Ber4/manifest.json:22730;outputs/team_dataset/Han-Ber4/manifest.json:23242;outputs/team_dataset/Han-Ber4/manifest.json:2346;outputs/team_dataset/Han-Ber4/manifest.json:238;outputs/team_dataset/Han-Ber4/manifest.json:23826;outputs/team_dataset/Han-Ber4/manifest.json:24086;outputs/team_dataset/Han-Ber4/manifest.json:24526;outputs/team_dataset/Han-Ber4/manifest.json:24858;outputs/team_dataset/Han-Ber4/manifest.json:25406;outputs/team_dataset/Han-Ber4/manifest.json:25486;outputs/team_dataset/Han-Ber4/manifest.json:25783;outputs/team_dataset/Han-Ber4/manifest.json:2714;outputs/team_dataset/Han-Ber4/manifest.json:3010;outputs/team_dataset/Han-Ber4/manifest.json:318;outputs/team_dataset/Han-Ber4/manifest.json:3378;outputs/team_dataset/Han-Ber4/manifest.json:3782;outputs/team_dataset/Han-Ber4/manifest.json:4186;outputs/team_dataset/Han-Ber4/manifest.json:4266;outputs/team_dataset/Han-Ber4/manifest.json:5354;outputs/team_dataset/Han-Ber4/manifest.json:5650;outputs/team_dataset/Han-Ber4/manifest.json:6486;outputs/team_dataset/Han-Ber4/manifest.json:6638;outputs/team_dataset/Han-Ber4/manifest.json:7222;outputs/team_dataset/Han-Ber4/manifest.json:7734;outputs/team_dataset/Han-Ber4/manifest.json:8138;outputs/team_dataset/Han-Ber4/manifest.json:830;outputs/team_dataset/Han-Ber4/manifest.json:8326;outputs/team_dataset/Han-Ber4/manifest.json:8370;outputs/team_dataset/Han-Ber4/manifest.json:8702;outputs/team_dataset/Han-Ber4/manifest.json:8926;outputs/team_dataset/Han-Ber4/manifest.json:8970;outputs/team_dataset/Han-Ber4/manifest.json:9050;outputs/team_dataset/Han-Ber4/manifest.json:9562;outputs/team_dataset/Han-Ber4/manifest.json:9786,,,Manual label/order artifact; verify semantic coverage.
outputs/.Han-Ber4_track_label_sheet_order.json,2924,403d07df62952102246f5b88707356f696feaa603aaef1846a7da44fef229265,legacy_manual_label_artifact,verify_against_canonical_then_archive,runs/archive/team_classification/track_labeling/Han-Ber4_track_label_sheet_order.json,direct_external_reference,CLAUDE.md:485,,,,,Manual label/order artifact; verify semantic coverage.
outputs/.Han-Ber4_track_team_labels.json,1306,09005662bcc860ad7fd449c67787866532b1854c1237367fc431583982f82f87,legacy_manual_label_artifact,verify_against_canonical_then_archive,runs/archive/team_classification/track_labeling/Han-Ber4_track_team_labels.json,direct_external_reference,CLAUDE.md:483;CLAUDE.md:548,,,,,Manual label/order artifact; verify semantic coverage.
outputs/felix_clean/felix_clean_run.npz,26976,9d3b309fcba16f490c7a941f44d60ec62d3ae414983f926e0b68933f5abdd6b1,early_labeling_trial,archive,runs/archive/team_classification/labeling_trials/felix_clean/felix_clean_run.npz,no_text_reference_found,,,,,,Early Felix labeling/field-filter experiment.
outputs/felix_clean/order.json,3341,ffa0f6975d379086630aa2c2fc3f2ab9e3fb971ab37b52a4ec56ad2f294a4c01,early_labeling_trial,archive,runs/archive/team_classification/labeling_trials/felix_clean/order.json,no_text_reference_found,,,,,,Early Felix labeling/field-filter experiment.
outputs/felix_clean/track_label_sheet_01.png,815624,e7993346bbdf1cdc69576916ee646988b34597c22ca7fe6229dba365f55319c8,early_labeling_trial,archive,runs/archive/team_classification/labeling_trials/felix_clean/track_label_sheet_01.png,no_text_reference_found,,,,,,Early Felix labeling/field-filter experiment.
outputs/felix_clean/track_label_sheet_02.png,742729,e97ae384e2ae064b385757f207a62c8835d47cc2ea49e89da241f00b9ccb1eb6,early_labeling_trial,archive,runs/archive/team_classification/labeling_trials/felix_clean/track_label_sheet_02.png,no_text_reference_found,,,,,,Early Felix labeling/field-filter experiment.
outputs/felix_clean_field/felix_clean_field_run.npz,18261,5dcee2b71cc17ec48d5c1e9cf3d77107c0cc2ba03db37500ce0b4b81288a0ed1,early_labeling_trial,archive,runs/archive/team_classification/labeling_trials/felix_clean_field/felix_clean_field_run.npz,no_text_reference_found,,,,,,Early Felix labeling/field-filter experiment.
